rollout,truth_body_min_clearance_m,truth_padded_min_clearance_m,predicted_padded_min_clearance_m,first_predicted_conflict_s,first_predicted_margin_breach_s,truth_dynamic_safe,predicted_dynamic_safe,costcritic_collision,prediction_score_captured,prediction_score_recomputed,total_score,weighted_score,mppi_probability,critic_FollowPath.ConstraintCritic,critic_FollowPath.CostCritic,critic_FollowPath.GoalCritic,critic_FollowPath.GoalAngleCritic,critic_FollowPath.PathAlignCritic,critic_FollowPath.PathFollowCritic,critic_FollowPath.PathAngleCritic,critic_FollowPath.PredictionV1Critic,uniform_center_overlap_fraction
196,0.29869626087142276,0.25719156297747503,0.0,0.9000000134110451,,True,False,False,1666.6666617393494,1666.6666666666667,1672.072021484375,1672.0703125,0.0,0.0,0.0,1.7758374214172363,3.6295223236083984,0.0,0.0,0.0,1666.6666617393494,0.0
197,0.27474867817654786,0.23714681569827972,0.0,0.9000000134110451,0.30000000447034836,True,False,False,1666.6666479110718,1666.6666666666667,1672.351318359375,1672.255126953125,0.0,0.0,0.0,1.6731187105178833,4.011551737785339,0.0,0.0,0.0,1666.6666479110718,0.0
198,0.48280358686171265,0.4501165451329303,0.0,0.800000011920929,0.7000000104308128,True,False,False,1666.672752380371,1666.6727213372542,1673.0545654296875,1672.952880859375,0.0,0.0,0.0,2.0787594318389893,4.303053617477417,0.0,0.0,0.0,1666.672752380371,3.6328023524744433e-06
199,0.21797731331037706,0.18460300705326738,0.0,0.9000000134110451,,True,False,False,1666.6666083335876,1666.6666666666667,1672.7496337890625,1672.8543701171875,0.0,0.0,0.0,1.6712851524353027,4.411740303039551,0.0,0.0,0.0,1666.6666083335876,0.0
200,0.170050038456898,0.1400500354967494,0.0,0.9000000134110451,,True,False,False,1666.6665744781494,1666.6666666666667,1672.149658203125,1672.3704833984375,0.0,0.0,0.0,1.4616588354110718,4.021424889564514,0.0,0.0,0.0,1666.6665744781494,0.0
201,0.2756721440906657,0.24421951346259654,0.0,0.4000000059604645,,True,False,False,1666.801489830017,1666.8014669753823,1672.8409423828125,1672.9603271484375,0.0,0.0,0.0,1.3229857683181763,4.716466784477234,0.0,0.0,0.0,1666.801489830017,8.088018522934838e-05
202,0.2562340607062906,0.2252014587129562,0.0,0.7000000104308128,0.6000000089406967,True,False,False,1666.6955451965332,1666.6955453367834,1672.5562744140625,1672.4288330078125,0.0,0.0,0.0,1.7243303060531616,4.136398911476135,0.0,0.0,0.0,1666.6955451965332,1.7327202069963445e-05
203,0.3419815918184197,0.3000022585177131,0.0,0.9000000134110451,,True,False,False,1666.6665978431702,1666.6666666666667,1672.0718994140625,1672.03515625,0.0,0.0,0.0,2.0333220958709717,3.3719794750213623,0.0,0.0,0.0,1666.6665978431702,0.0
204,0.32009648286702586,0.28615342206690375,0.007465744010879205,,0.9000000134110451,True,False,False,0.5,0.5,6.630875587463379,6.793999671936035,0.0008582753362134099,0.0,0.0,2.025888681411743,4.104986906051636,0.0,0.0,0.0,0.5,0.0
205,0.19862824070099983,0.1602098902915694,0.0,0.9000000134110451,0.800000011920929,True,False,False,1666.6666374206543,1666.6666666666667,1672.3358154296875,1672.3961181640625,0.0,0.0,0.0,1.5901012420654297,4.079076766967773,0.0,0.0,0.0,1666.6666374206543,0.0
206,0.31163207740519727,0.28162146820873674,0.0,0.9000000134110451,,True,False,False,1666.6666841506958,1666.6666666666667,1673.2911376953125,1673.0711669921875,0.0,0.0,0.0,2.1373772621154785,4.487076282501221,0.0,0.0,0.0,1666.6666841506958,0.0
